EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,BUY_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,SM_UPPER_LIMIT,SM_LOWER_LIMIT,SM_FREEZE_QTY,
NSE,I,1,NA,INDEX,1,NIFTY MIDCAP 150,NIFTY MIDCAP 150,NIFTY Midcap 150,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,2,NA,INDEX,2,BSEDSI,BSEDSI,BSE DSI,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,3,NA,INDEX,3,NIFTY SMALLCAP 250,NIFTY SMALLCAP 250,NIFTY Smallcap 250,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
BSE,I,4,NA,INDEX,4,BSEEVI,BSEEVI,BSE Enhanced Value Index,INDEX,NA,1.0,0001-01-01,,XX,0.0100,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,5,NA,INDEX,5,NIFTY SMALLCAP 100,NIFTY SMALLCAP 100,NIFTY Smallcap 100,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,6,NA,INDEX,6,NIFTY LARGEMID250,NIFTY LARGEMID250,Nifty Largemid250,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,7,NA,INDEX,7,NIFTY MIDSMALLCAP 400,NIFTY MIDSMALLCAP 400,Nifty MidSmallCap 400,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,10,NA,INDEX,10,NIFTY100 EQUAL WEIGHT,NIFTY100 EQUAL WEIGHT,Nifty100 Equal Weight,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,11,NA,INDEX,11,NIFTY100 LOW VOLATILITY 30,NIFTY100 LOW VOLATILITY 30,Nifty 100 Low Volatility 30,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,12,NA,INDEX,12,NIFTY ALPHA 50,NIFTY ALPHA 50,NIFTY ALPHA 50,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,13,NA,INDEX,13,NIFTY,NIFTY,Nifty 50,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,14,NA,INDEX,14,NIFTY AUTO,NIFTY AUTO,NIFTY Auto,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,15,NA,INDEX,15,NIFTY PVT BANK,NIFTY PVT BANK,NIFTY Private Bank,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,16,NA,INDEX,16,NIFTY MID LIQ 15,NIFTY MID LIQ 15,Nifty Midcap Liquid 15,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,17,NA,INDEX,17,NIFTY 100,NIFTY 100,NIFTY 100,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,18,NA,INDEX,18,NIFTY 200,NIFTY 200,NIFTY 200,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,19,NA,INDEX,19,NIFTY 500,NIFTY 500,NIFTY 500,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,20,NA,INDEX,20,NIFTYMCAP50,NIFTYMCAP50,Nifty Mid Cap 50,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
NSE,I,21,NA,INDEX,21,INDIA VIX,INDIA VIX,India VIX,INDEX,NA,1.0,0001-01-01,,XX,0.0500,N,N,N,N,NA,A,0,0,0,0,0,0,0,0.0000,0.0000,0,
