Sr.,Symbol / Scrip Name,ISIN,MIS(Intraday),BO(Bracket),CO(Cover)
1,ABB,INE117A01022,5x,5x,5x
2,AEGISLOG,INE208C01025,5x,5x,5x
3,ARE&M,INE885A01032,5x,5x,5x
4,ATUL,INE100A01010,5x,5x,5x
5,BAJAJELEC,INE193E01025,5x,5x,5x
6,BAJFINANCE,INE296A01024,5x,5x,5x
7,BALRAMCHIN,INE119A01028,5x,5x,5x
8,ABREL,INE055A01016,5x,5x,5x
9,BANARISUG,INE459A01010,5x,5x,5x
10,BASF,INE373A01013,5x,5x,5x
11,BATAINDIA,INE176A01028,5x,5x,5x
12,BEML,INE258A01016,5x,5x,5x
13,BEL,INE263A01024,5x,5x,5x
14,BEPL,INE922A01025,5x,5x,5x
15,BIRLACABLE,INE800A01015,5x,5x,5x
16,BLUESTARCO,INE472A01039,5x,5x,5x
17,OAL,INE959C01023,5x,5x,5x
18,CESC,INE486A01021,5x,5x,5x
19,CHAMBLFERT,INE085A01013,5x,5x,5x
20,EXIDEIND,INE302A01020,5x,5x,5x
21,CIPLA,INE059A01026,5x,5x,5x
22,CRISIL,INE007A01025,5x,5x,5x
23,CGPOWER,INE067A01029,5x,5x,5x
24,DABUR,INE016A01026,5x,5x,5x
25,DALMIASUG,INE495A01022,5x,5x,5x
26,BHEL,INE257A01026,5x,5x,5x
27,HINDPETRO,INE094A01015,5x,5x,5x
28,MRPL,INE103A01014,5x,5x,5x
29,CHENNPETRO,INE178A01016,5x,5x,5x
30,SBIN,INE062A01020,5x,5x,5x
31,SAIL,INE114A01011,5x,5x,5x
32,TITAN,INE280A01028,5x,5x,5x
33,IDBI,INE008A01015,5x,5x,5x
34,DCW,INE500A01029,5x,5x,5x
35,DHAMPURSUG,INE041A01016,5x,5x,5x
36,DRREDDY,INE089A01031,5x,5x,5x
37,EIDPARRY,INE126A01031,5x,5x,5x
38,PGHL,INE199A01012,5x,5x,5x
39,ESABINDIA,INE284A01012,5x,5x,5x
40,EPL,INE255A01020,5x,5x,5x
41,ESTER,INE778B01029,5x,5x,5x
42,FINCABLES,INE235A01022,5x,5x,5x
43,UFLEX,INE516A01017,5x,5x,5x
44,FOSECOIND,INE519A01011,5x,5x,5x
45,GANESHBE,INE388A01029,5x,5x,5x
46,GODFRYPHLP,INE260B01028,5x,5x,5x
47,GODREJIND,INE233A01035,5x,5x,5x
48,KANSAINER,INE531A01024,5x,5x,5x
49,GOODYEAR,INE533A01012,5x,5x,5x
50,GHCL,INE539A01019,5x,5x,5x
51,GFLLIMITED,INE538A01037,5x,5x,5x
52,HDFCBANK,INE040A01034,5x,5x,5x
53,HEROMOTOCO,INE158A01026,5x,5x,5x
54,HFCL,INE548A01028,5x,5x,5x
55,HSCL,INE019C01026,5x,5x,5x
56,HINDOILEXP,INE345A01011,5x,5x,5x
57,AGI,INE415A01038,5x,5x,5x
58,HINDZINC,INE267A01025,5x,5x,5x
59,IGPL,INE204A01010,5x,5x,5x
60,INDIAGLYCO,INE560A01015,5x,5x,5x
61,INDORAMA,INE156A01020,5x,5x,5x
62,INFY,INE009A01021,5x,5x,5x
63,INGERRAND,INE177A01018,5x,5x,5x
64,IONEXCHANG,INE570A01022,5x,5x,5x
65,ATFL,INE209A01019,5x,5x,5x
66,JISLJALEQS,INE175A01038,5x,5x,5x
67,JINDALPOLY,INE197D01010,5x,5x,5x
68,JSWSTEEL,INE019A01038,5x,5x,5x
69,KAJARIACER,INE217B01036,5x,5x,5x
70,WHIRLPOOL,INE716A01013,5x,5x,5x
71,KIRLOSIND,INE250A01039,5x,5x,5x
72,KIRLFER,INE884B01025,5x,5x,5x
73,KOTAKBANK,INE237A01028,5x,5x,5x
74,KSB,INE999A01023,5x,5x,5x
75,LGBBROSLTD,INE337A01034,5x,5x,5x
76,TRENT,INE849A01020,5x,5x,5x
77,LMW,INE269B01029,5x,5x,5x
78,LICHSGFIN,INE115A01026,5x,5x,5x
79,LUPIN,INE326A01037,5x,5x,5x
80,RAMCOCEM,INE331A01037,5x,5x,5x
81,MAHSEAMLES,INE271B01025,5x,5x,5x
82,MAHSCOOTER,INE288A01013,5x,5x,5x
83,MANALIPETC,INE201A01024,5x,5x,5x
84,MFSL,INE180A01020,5x,5x,5x
85,CENTENKA,INE485A01015,5x,5x,5x
86,MOREPENLAB,INE083A01026,5x,5x,5x
87,MRF,INE883A01011,5x,5x,5x
88,HEIDELBERG,INE578A01017,5x,5x,5x
89,NCC,INE868B01028,5x,5x,5x
90,VEDL,INE205A01025,5x,5x,5x
91,NAHARSPING,INE290A01027,5x,5x,5x
92,GRASIM,INE047A01021,5x,5x,5x
93,PEL,INE140A01024,5x,5x,5x
94,NIITLTD,INE161A01038,5x,5x,5x
95,ONGC,INE213A01029,5x,5x,5x
96,ORIENTHOT,INE750A01020,5x,5x,5x
97,OSWALAGRO,INE142A01012,5x,5x,5x
98,RELIANCE,INE002A01018,5x,5x,5x
99,RAYMOND,INE301A01014,5x,5x,5x
100,PIDILITIND,INE318A01026,5x,5x,5x
101,PIXTRANS,INE751B01018,5x,5x,5x
102,BIRLACORPN,INE340A01012,5x,5x,5x
103,PRIMESECU,INE032B01021,5x,5x,5x
104,PRSMJOHNSN,INE010A01011,5x,5x,5x
105,RAIN,INE855B01025,5x,5x,5x
106,RSWM,INE611A01016,5x,5x,5x
107,RALLIS,INE613A01020,5x,5x,5x
108,PATANJALI,INE619A01035,5x,5x,5x
109,JINDALSAW,INE324A01032,5x,5x,5x
110,JKLAKSHMI,INE786A01032,5x,5x,5x
111,SHREECEM,INE070A01015,5x,5x,5x
112,TATAPOWER,INE245A01021,5x,5x,5x
113,SUNDRMFAST,INE387A01021,5x,5x,5x
114,SUNFLAG,INE947A01014,5x,5x,5x
115,SPLPETRO,INE663A01033,5x,5x,5x
116,SWARAJENG,INE277A01016,5x,5x,5x
117,TATAELXSI,INE670A01012,5x,5x,5x
118,ACC,INE012A01025,2x,2x,2x
119,THERMAX,INE152A01029,5x,5x,5x
120,TIRUMALCHM,INE338A01024,5x,5x,5x
121,TORNTPHARM,INE685A01028,5x,5x,5x
122,AMBUJACEM,INE079A01024,2x,2x,2x
123,UNIENTER,INE037A01022,5x,5x,5x
124,VHL,INE701A01023,5x,5x,5x
125,HINDALCO,INE038A01020,5x,5x,5x
126,WSTCSTPAPR,INE976A01021,5x,5x,5x
127,PGHH,INE179A01014,5x,5x,5x
128,MUKANDLTD,INE304A01026,5x,5x,5x
129,FEDERALBNK,INE171A01029,5x,5x,5x
130,TATASTEEL,INE081A01020,5x,5x,5x
131,SKFINDIA,INE640A01023,5x,5x,5x
132,ASHOKLEY,INE208A01029,5x,5x,5x
133,CUMMINSIND,INE298A01020,5x,5x,5x
134,TATACOMM,INE151A01013,5x,5x,5x
135,ABBOTINDIA,INE358A01014,5x,5x,5x
136,BAJAJHLDNG,INE118A01012,5x,5x,5x
137,BHARATFORG,INE465A01025,5x,5x,5x
138,ESCORTS,INE042A01014,5x,5x,5x
139,LT,INE018A01030,5x,5x,5x
140,M&M,INE101A01026,5x,5x,5x
141,BOSCHLTD,INE323A01026,5x,5x,5x
142,BPCL,INE029A01011,5x,5x,5x
143,SIEMENS,INE003A01024,5x,5x,5x
144,TATAMOTORS,INE155A01022,5x,5x,5x
145,VOLTAS,INE226A01021,5x,5x,5x
146,GESHIP,INE017A01032,5x,5x,5x
147,DEEPAKFERT,INE501A01019,5x,5x,5x
148,EXCELINDUS,INE369A01029,5x,5x,5x
149,GLAXO,INE159A01016,5x,5x,5x
150,GNFC,INE113A01013,5x,5x,5x
151,NOVARTIND,INE234A01025,5x,5x,5x
152,SANOFI,INE058A01010,5x,5x,5x
153,PFIZER,INE182A01018,5x,5x,5x
154,GSFC,INE026A01025,5x,5x,5x
155,HINDUNILVR,INE030A01027,5x,5x,5x
156,AKZOINDIA,INE133A01011,5x,5x,5x
157,NOCIL,INE163A01018,5x,5x,5x
158,TATACHEM,INE092A01019,5x,5x,5x
159,TNPETRO,INE148A01019,5x,5x,5x
160,NESTLEIND,INE239A01024,5x,5x,5x
161,TATACONSUM,INE192A01025,5x,5x,5x
162,ASIANPAINT,INE021A01026,5x,5x,5x
163,BRITANNIA,INE216A01030,5x,5x,5x
164,COLPAL,INE259A01022,5x,5x,5x
165,EIHOTEL,INE230A01023,5x,5x,5x
166,INDHOTEL,INE053A01029,5x,5x,5x
167,CASTROLIND,INE172A01027,5x,5x,5x
168,ITC,INE154A01025,5x,5x,5x
169,APOLLOTYRE,INE438A01022,5x,5x,5x
170,CEATLTD,INE482A01020,5x,5x,5x
171,FINPIPE,INE183A01024,5x,5x,5x
172,CENTRUM,INE660C01027,5x,5x,5x
173,BBTC,INE050A01025,5x,5x,5x
174,GREAVESCOT,INE224A01026,5x,5x,5x
175,SAGCEM,INE229C01021,5x,5x,5x
176,DECCANCE,INE583C01021,5x,5x,5x
177,NCLIND,INE732C01016,5x,5x,5x
178,SHREDIGCEM,INE232A01011,5x,5x,5x
179,BORORENEW,INE666D01022,5x,5x,5x
180,ANDHRAPAP,INE435A01051,5x,5x,5x
181,BALKRISIND,INE787D01026,5x,5x,5x
182,ORIENTPPR,INE592A01026,5x,5x,5x
183,SESHAPAPER,INE630A01024,5x,5x,5x
184,VTL,INE825A01020,5x,5x,5x
185,PENINLAND,INE138A01028,5x,5x,5x
186,PHOENIXLTD,INE211B01039,5x,5x,5x
187,MARATHON,INE182D01020,5x,5x,5x
188,RUBYMILLS,INE301D01026,5x,5x,5x
189,BANSWRAS,INE629D01020,5x,5x,5x
190,SRF,INE647A01010,5x,5x,5x
191,SIYSIL,INE076B01028,5x,5x,5x
192,ZENSARTECH,INE520A01027,5x,5x,5x
193,NELCO,INE045B01015,5x,5x,5x
194,UNIVCABLES,INE279A01012,5x,5x,5x
195,SARDAEN,INE385C01021,5x,5x,5x
196,INDIANHUME,INE323C01030,5x,5x,5x
197,CHOLAHLDNG,INE149A01033,5x,5x,5x
198,AUTOAXLES,INE449A01011,5x,5x,5x
199,EICHERMOT,INE066A01021,5x,5x,5x
200,GMMPFAUDLR,INE541A01023,5x,5x,5x
201,KIRLPNU,INE811A01020,5x,5x,5x
202,NESCO,INE317F01035,5x,5x,5x
203,TEXINFRA,INE435C01024,5x,5x,5x
204,WENDT,INE274C01019,5x,5x,5x
205,RESPONIND,INE688D01026,5x,5x,5x
206,WESTLIFE,INE274F01020,5x,5x,5x
207,ZEEL,INE256A01028,5x,5x,5x
208,ELECON,INE205B01031,5x,5x,5x
209,GRAUWEIL,INE266D01021,5x,5x,5x
210,HERCULES,INE688E01024,5x,5x,5x
211,FMGOETZE,INE529A01010,5x,5x,5x
212,SCHAEFFLER,INE513A01022,5x,5x,5x
213,RANEHOLDIN,INE384A01010,5x,5x,5x
214,KENNAMET,INE717A01029,5x,5x,5x
215,GRINDWELL,INE536A01023,5x,5x,5x
216,GENESYS,INE727B01026,5x,5x,5x
217,BLISSGVS,INE416D01022,5x,5x,5x
218,STYRENIX,INE189B01011,5x,5x,5x
219,ALEMBICLTD,INE426A01027,5x,5x,5x
220,BAYERCROP,INE462A01022,5x,5x,5x
221,HEUBACHIND,INE492A01029,5x,5x,5x
222,COROMANDEL,INE169A01031,5x,5x,5x
223,DEEPAKNTR,INE288B01029,5x,5x,5x
224,DMCC,INE505A01010,5x,5x,5x
225,GOCLCORP,INE077F01035,5x,5x,5x
226,KANORICHEM,INE138C01024,5x,5x,5x
227,PCBL,INE602A01031,5x,5x,5x
228,PUNJABCHEM,INE277B01014,5x,5x,5x
229,SADHNANIQ,INE888C01040,5x,5x,5x
230,SUDARSCHEM,INE659A01023,5x,5x,5x
231,UNICHEMLAB,INE351A01035,5x,5x,5x
232,ALKYLAMINE,INE150B01039,5x,5x,5x
233,ASTRAZEN,INE203A01020,5x,5x,5x
234,JBCHEPHARM,INE572A01036,5x,5x,5x
235,TI,INE133E01013,5x,5x,5x
236,GMBREW,INE075D01018,5x,5x,5x
237,RANASUG,INE625B01014,5x,5x,5x
238,ASALCBR,INE073G01016,5x,5x,5x
239,FOODSIN,INE976E01023,5x,5x,5x
240,WIPRO,INE075A01022,5x,5x,5x
241,DHANUKA,INE435G01025,5x,5x,5x
242,TTKHLTCARE,INE910C01018,5x,5x,5x
243,JAGSNPHARM,INE048B01027,5x,5x,5x
244,KHAICHEM,INE745B01028,5x,5x,5x
245,GILLETTE,INE322A01010,5x,5x,5x
246,VIPIND,INE054A01027,5x,5x,5x
247,COSMOFIRST,INE757A01017,5x,5x,5x
248,APOLLOHOSP,INE437A01024,5x,5x,5x
249,EVERESTIND,INE295A01018,5x,5x,5x
250,NAVNETEDUL,INE060A01024,5x,5x,5x
251,GUFICBIO,INE742B01025,5x,5x,5x
252,PTL,INE034D01049,5x,5x,5x
253,TVSSRICHAK,INE421C01016,5x,5x,5x
254,BERGEPAINT,INE463A01038,5x,5x,5x
255,GRAPHITE,INE371A01025,5x,5x,5x
256,GARFIBRES,INE276A01018,5x,5x,5x
257,HEG,INE545A01024,5x,5x,5x
258,HINDCOMPOS,INE310C01029,5x,5x,5x
259,HIL,INE557A01011,5x,5x,5x
260,JAYSREETEA,INE364A01020,5x,5x,5x
261,HUHTAMAKI,INE275B01026,5x,5x,5x
262,SHALPAINTS,INE849C01026,5x,5x,5x
263,SUPREMEIND,INE195A01028,5x,5x,5x
264,VSTIND,INE710A01016,5x,5x,5x
265,SATINDLTD,INE065D01027,5x,5x,5x
266,CANFINHOME,INE477A01020,5x,5x,5x
267,SHRIRAMFIN,INE721A01013,5x,5x,5x
268,VLSFINANCE,INE709A01018,5x,5x,5x
269,VAKRANGEE,INE051B01021,5x,5x,5x
270,ARIHANTCAP,INE420B01036,5x,5x,5x
271,GICHSGFIN,INE289B01019,5x,5x,5x
272,UGROCAP,INE583D01011,5x,5x,5x
273,MUTHOOTCAP,INE296G01013,5x,5x,5x
274,UPL,INE628A01036,5x,5x,5x
275,SUNTECK,INE805D01034,5x,5x,5x
276,LLOYDSME,INE281B01032,5x,5x,5x
277,SEQUENT,INE807F01027,5x,5x,5x
278,STCINDIA,INE655A01013,5x,5x,5x
279,AVANTIFEED,INE871C01038,5x,5x,5x
280,ADANIENT,INE423A01024,2x,2x,2x
281,NAVA,INE725A01022,5x,5x,5x
282,SBCL,INE386D01027,5x,5x,5x
283,GANDHITUBE,INE524B01027,5x,5x,5x
284,PENIND,INE932A01024,5x,5x,5x
285,SSWL,INE802C01033,5x,5x,5x
286,AJMERA,INE298G01027,5x,5x,5x
287,CARBORUNIV,INE120A01034,5x,5x,5x
288,STEELCAS,INE124E01020,5x,5x,5x
289,PITTIENG,INE450D01021,5x,5x,5x
290,HINDCOPPER,INE531E01026,5x,5x,5x
291,NLCINDIA,INE589A01014,5X,5X,5X
292,HIMATSEIDE,INE049A01027,5x,5x,5x
293,BSL,INE594B01012,5x,5x,5x
294,WELSPUNLIV,INE192B01031,5x,5x,5x
295,GANECOS,INE845D01014,5x,5x,5x
296,SANGAMIND,INE495C01010,5x,5x,5x
297,ASAHIINDIA,INE439A01020,5x,5x,5x
298,ANANTRAJ,INE242C01024,5x,5x,5x
299,STARPAPER,INE733A01018,5x,5x,5x
300,ARROWGREEN,INE570D01018,5x,5x,5x
301,VISHNU,INE270I01022,5x,5x,5x
302,VINDHYATEL,INE707A01012,5x,5x,5x
303,ADORWELD,INE045A01017,5x,5x,5x
304,USHAMART,INE228A01035,5x,5x,5x
305,SUBROS,INE287B01021,5x,5x,5x
306,HONAUT,INE671A01010,5x,5x,5x
307,LUMAXIND,INE162B01018,5x,5x,5x
308,MOTHERSON,INE775A08105,5x,5x,5x
309,HAVELLS,INE176B01034,5x,5x,5x
310,IGARASHI,INE188B01013,5x,5x,5x
311,SYMPHONY,INE225D01027,5x,5x,5x
312,BUTTERFLY,INE295F01017,5x,5x,5x
313,ROTO,INE535D01037,5x,5x,5x
314,TTKPRESTIG,INE690A01028,5x,5x,5x
315,RAJRATAN,INE451D01029,5x,5x,5x
316,ONWARDTEC,INE229A01017,5x,5x,5x
317,KEI,INE878B01027,5x,5x,5x
318,TASTYBITE,INE488B01017,5x,5x,5x
319,AVTNPL,INE488D01021,5x,5x,5x
320,HNDFDS,INE254N01026,5x,5x,5x
321,NAHARINDUS,INE289A01011,5x,5x,5x
322,VADILALIND,INE694D01016,5x,5x,5x
323,ADFFOODS,INE982B01027,5x,5x,5x
324,CCL,INE421D01022,5x,5x,5x
325,KELLTONTEC,INE164B01022,5x,5x,5x
326,RICOAUTO,INE209B01025,5x,5x,5x
327,MUNJALSHOW,INE577A01027,5x,5x,5x
